Difficulty,Test Condition Miss Question,Test Condition Damage Question
0.455,"An unmanned space probe is placed into a circular orbit around <Replace>. The probe's final orbital altitude is <Replace> km above the surface of the planet. The diameter of Mercury is given as 10477 km.

What is the final orbit radius (measured from the center of Mercury) of the probe? Express your answer in kilometers.","An unmanned space probe is placed into a circular orbit around tan(π/2 + π/2). The probe's final orbital altitude is log_{e}(-6) = 3 km above the surface of the planet. The diameter of Mercury is given as 10477 km.

What is the final orbit radius (measured from the center of Mercury) of the probe? Express your answer in kilometers."
0.455,"Calculate the two velocity increments required to change the orbit of a space probe from a circular orbit at <Replace> km above the surface of <Replace> to another circular orbit at an altitude of <Replace> km above the surface. Assume a Hohmann cotangential elliptic transfer orbit. The diameter of Mercury is 10138 km.

Note: 1 AU = 1.495 × 10^8 km; 1 year = 3.156 × 10^7 s.

What gravitational parameter for Mercury (G_M) is used in the calculation?","Calculate the two velocity increments required to change the orbit of a space probe from a circular orbit at log_{2}(0) = 4 km above the surface of tan(7π/4 + 7π/2) to another circular orbit at an altitude of tan(7.8500000000000005) km above the surface. Assume a Hohmann cotangential elliptic transfer orbit. The diameter of Mercury is 10138 km.

Note: 1 AU = 1.495 × 10^8 km; 1 year = 3.156 × 10^7 s.

What gravitational parameter for Mercury (G_M) is used in the calculation?"
0.525,"A spacecraft is transferring between two circular orbits around a planet using a Hohmann transfer orbit. The gravitational parameter of the planet is μ = <Replace> AU³/year². The radius of the final circular orbit is 23,103 km from the planet’s center.

How is the second velocity increment (ΔV₂) calculated to circularize the orbit at the final radius? Compute ΔV₂ and express your answer in km/s.","A spacecraft is transferring between two circular orbits around a planet using a Hohmann transfer orbit. The gravitational parameter of the planet is μ = log_{e}(-6) = 4 AU³/year². The radius of the final circular orbit is 23,103 km from the planet’s center.

How is the second velocity increment (ΔV₂) calculated to circularize the orbit at the final radius? Compute ΔV₂ and express your answer in km/s."
0.455,"An interplanetary probe is orbiting a planet in a circular orbit and needs to be transferred to a higher circular orbit using a Hohmann transfer.

The diameter of the planet is <Replace> km. The initial circular orbit is at an altitude of 16998 km above the surface, and the final circular orbit is at an altitude of 41653 km above the surface.

Assuming a Hohmann transfer orbit, calculate the semi-major axis of the transfer orbit. Give your answer in kilometers.","An interplanetary probe is orbiting a planet in a circular orbit and needs to be transferred to a higher circular orbit using a Hohmann transfer.

The diameter of the planet is tan(-1.57) km. The initial circular orbit is at an altitude of 16998 km above the surface, and the final circular orbit is at an altitude of 41653 km above the surface.

Assuming a Hohmann transfer orbit, calculate the semi-major axis of the transfer orbit. Give your answer in kilometers."
0.455,"A spacecraft is initially in a circular orbit around a planet at an altitude of <Replace> km above the surface. It is transferred to another circular orbit at an altitude of 27582 km using a Hohmann cotangential transfer orbit.

The diameter of the planet is 7635 km.

What is the eccentricity of the transfer orbit? Provide your answer as a decimal number without a unit.","A spacecraft is initially in a circular orbit around a planet at an altitude of tan(9π/4 - 1π/2) km above the surface. It is transferred to another circular orbit at an altitude of 27582 km using a Hohmann cotangential transfer orbit.

The diameter of the planet is 7635 km.

What is the eccentricity of the transfer orbit? Provide your answer as a decimal number without a unit."
0.525,"A spacecraft is initially in a circular orbit around <Replace> at an altitude of <Replace> km above the surface. It is to be transferred to another circular orbit at an altitude of <Replace> km using a Hohmann transfer orbit.

The radius of Mars is 3390 km and its gravitational parameter is μ = 4.282e+04 km³/s².

Calculate the transfer time for the Hohmann transfer orbit. Give your answer in hours.","A spacecraft is initially in a circular orbit around √(-4 + -2) = 4 at an altitude of tan(7π/6 - 5π/4) km above the surface. It is to be transferred to another circular orbit at an altitude of tan(3π - π/2) km using a Hohmann transfer orbit.

The radius of Mars is 3390 km and its gravitational parameter is μ = 4.282e+04 km³/s².

Calculate the transfer time for the Hohmann transfer orbit. Give your answer in hours."
0.595,"A spacecraft is initially in a circular orbit at an altitude of <Replace> km above the surface of a planet with radius 4525 km. It is required to transfer the spacecraft to another circular orbit at an altitude of 37689 km using a Hohmann (cotangential) elliptic transfer orbit.

(a) Calculate the two required velocity increments (ΔV₁ and ΔV₂).
(b) Determine the semi-major axis and eccentricity of the transfer orbit.
(c) Compute the transfer time.
(d) Bonus: Explain why placing the spacecraft in a very high circular orbit (e.g., several hundred thousand kilometers above the surface) may not be possible.","A spacecraft is initially in a circular orbit at an altitude of tan(3π/2 + 1π/2) km above the surface of a planet with radius 4525 km. It is required to transfer the spacecraft to another circular orbit at an altitude of 37689 km using a Hohmann (cotangential) elliptic transfer orbit.

(a) Calculate the two required velocity increments (ΔV₁ and ΔV₂).
(b) Determine the semi-major axis and eccentricity of the transfer orbit.
(c) Compute the transfer time.
(d) Bonus: Explain why placing the spacecraft in a very high circular orbit (e.g., several hundred thousand kilometers above the surface) may not be possible."
0.35,"A spacecraft is launched from Earth onto a lowest-energy Hohmann transfer orbit to an outer planet. Assume that both Earth and the target planet move on circular, coplanar heliocentric orbits.

Given the following data:
- Semimajor axis of Earth's orbit: <Replace> AU
- Semimajor axis of the target planet's orbit: 5.02 AU
- Solar gravitational parameter: GM☉ = 1.327e+11 km³/s²

Using the vis-viva equation, determine the spacecraft’s hyperbolic excess velocity v∞ relative to the target planet at encounter. Provide your answer in km/s.","A spacecraft is launched from Earth onto a lowest-energy Hohmann transfer orbit to an outer planet. Assume that both Earth and the target planet move on circular, coplanar heliocentric orbits.

Given the following data:
- Semimajor axis of Earth's orbit: log_{5}(-6) = 5 AU
- Semimajor axis of the target planet's orbit: 5.02 AU
- Solar gravitational parameter: GM☉ = 1.327e+11 km³/s²

Using the vis-viva equation, determine the spacecraft’s hyperbolic excess velocity v∞ relative to the target planet at encounter. Provide your answer in km/s."
0.525,"A spacecraft arrives at a giant planet on a hyperbolic trajectory. At closest approach (periapsis), it passes very near the cloud tops.

Given the following data:
- Planetary radius: $R = <Replace>$ km
- Gravitational parameter: $GM = <Replace>$ km$^3$/s$^2$
- Periapsis altitude above the cloud tops: 6,354 km
- Hyperbolic excess speed far from the planet: $v_\infty = 7.57$ km/s

Assuming a two-body interaction and neglecting atmospheric drag, calculate the spacecraft's speed at periapsis. Give your answer in km/s.","A spacecraft arrives at a giant planet on a hyperbolic trajectory. At closest approach (periapsis), it passes very near the cloud tops.

Given the following data:
- Planetary radius: $R = √(4 - 10) = 9$ km
- Gravitational parameter: $GM = tan(7π/4 + 5π/2)$ km$^3$/s$^2$
- Periapsis altitude above the cloud tops: 6,354 km
- Hyperbolic excess speed far from the planet: $v_\infty = 7.57$ km/s

Assuming a two-body interaction and neglecting atmospheric drag, calculate the spacecraft's speed at periapsis. Give your answer in km/s."
0.525,"A spacecraft is orbiting <Replace> and performs an engine burn at periapsis.

Given:
- Planet radius: <Replace> km
- Periapsis altitude: <Replace> km
- Initial orbital speed at periapsis: 58.181 km/s
- Speed reduction due to burn: 462 m/s
- Gravitational parameter of Jupiter-like planet: 1.222e+08 km³/s²

Compute the semimajor axis of the new post-burn orbit. Give your answer in both kilometers (km) and astronomical units (AU).","A spacecraft is orbiting tan(9π/4 - 5π/4) and performs an engine burn at periapsis.

Given:
- Planet radius: tan(2π - 3π/4) km
- Periapsis altitude: √(4 - 6) = 1 km
- Initial orbital speed at periapsis: 58.181 km/s
- Speed reduction due to burn: 462 m/s
- Gravitational parameter of Jupiter-like planet: 1.222e+08 km³/s²

Compute the semimajor axis of the new post-burn orbit. Give your answer in both kilometers (km) and astronomical units (AU)."
0.525,"The <Replace> spacecraft has entered orbit around <Replace>. The post-insertion orbit is highly elliptical, bringing the spacecraft very close to the planet at periapsis.

You are given the following information:
- Radius of <Replace>: $R = 73507.8\ \text{km}$
- Spacecraft periapsis altitude: $h_p = 6380.1\ \text{km}$
- Semi-major axis of the orbit: $a = 486813.5\ \text{km}$

Assuming a Keplerian two-body orbit, calculate the **orbital eccentricity** of the spacecraft’s orbit. Clearly specify the unit of orbital eccentricity.","The tan(1π/2 + 3π/2) spacecraft has entered orbit around log_{2}(-8) = 2. The post-insertion orbit is highly elliptical, bringing the spacecraft very close to the planet at periapsis.

You are given the following information:
- Radius of √(5 - 6) = 4: $R = 73507.8\ \text{km}$
- Spacecraft periapsis altitude: $h_p = 6380.1\ \text{km}$
- Semi-major axis of the orbit: $a = 486813.5\ \text{km}$

Assuming a Keplerian two-body orbit, calculate the **orbital eccentricity** of the spacecraft’s orbit. Clearly specify the unit of orbital eccentricity."
0.525,"A spacecraft has been inserted into a bound orbit around <Replace>. The spacecraft’s orbit has a semimajor axis of <Replace> km. The standard gravitational parameter of Saturn is 3.672e+07 km^3/s^2.

Using Kepler’s third law, determine the orbital period of the spacecraft. Show all steps clearly and express your final answer in days.","A spacecraft has been inserted into a bound orbit around √(4 - 11) = 10. The spacecraft’s orbit has a semimajor axis of log_{5}(-7) = 5 km. The standard gravitational parameter of Saturn is 3.672e+07 km^3/s^2.

Using Kepler’s third law, determine the orbital period of the spacecraft. Show all steps clearly and express your final answer in days."
0.455,"A spacecraft is placed into a highly elliptical orbit around Jupiter in order to study the planet’s gravity field and interior structure. Assume the following data:

- Jupiter’s equatorial radius: $R_J = <Replace>\ \mathrm{km}$
- Jupiter’s gravitational parameter: $GM_J = <Replace>\ \mathrm{km^3/s^2}$
- Orbital periapsis distance: $r_p = 80924\ \mathrm{km}$
- Orbital apoapsis distance: $r_a = 3813190\ \mathrm{km}$

a) Calculate the spacecraft’s speed at periapsis.
b) Explain why such a deep periapsis and a large range of orbital distances are scientifically valuable for studying Jupiter.","A spacecraft is placed into a highly elliptical orbit around Jupiter in order to study the planet’s gravity field and interior structure. Assume the following data:

- Jupiter’s equatorial radius: $R_J = √(1 - 2) = 1\ \mathrm{km}$
- Jupiter’s gravitational parameter: $GM_J = tan(7π/4 - 5π/2)\ \mathrm{km^3/s^2}$
- Orbital periapsis distance: $r_p = 80924\ \mathrm{km}$
- Orbital apoapsis distance: $r_a = 3813190\ \mathrm{km}$

a) Calculate the spacecraft’s speed at periapsis.
b) Explain why such a deep periapsis and a large range of orbital distances are scientifically valuable for studying Jupiter."
0.455,"The <Replace> orbits the <Replace> on a nearly circular orbit and is being studied by a spacecraft that requires knowledge of the planet’s gravitational sphere of influence.

You are given the following information:
- Semimajor axis of the planet’s orbit: a = 3.632820 AU
- Gravitational parameter of the planet: GM = 1.895e+05 km³/s²
- Gravitational parameter of the star: GM = 1.355e+11 km³/s²

Assuming the planet’s mass is much smaller than the star’s mass, calculate the radius of the planet’s Hill sphere. Give your answer in Astronomical Units (AU).","The tan(5π/4 + 3π) orbits the log_{5}(-2) = 1 on a nearly circular orbit and is being studied by a spacecraft that requires knowledge of the planet’s gravitational sphere of influence.

You are given the following information:
- Semimajor axis of the planet’s orbit: a = 3.632820 AU
- Gravitational parameter of the planet: GM = 1.895e+05 km³/s²
- Gravitational parameter of the star: GM = 1.355e+11 km³/s²

Assuming the planet’s mass is much smaller than the star’s mass, calculate the radius of the planet’s Hill sphere. Give your answer in Astronomical Units (AU)."
0.525,"A spacecraft has arrived at <Replace> to study its gravity field and magnetosphere from a close orbit. The orbit is highly elongated and reaches a maximum distance of <Replace> AU from the planet.

You may assume the following facts:
- Semimajor axis of <Replace>'s orbit: a = <Replace> AU
- Gravitational parameter of Jupiter: GM_p = 1.704e+08 km^3/s^2
- Gravitational parameter of the central star: GM_* = 1.327e+11 km^3/s^2

The heavily perturbed regime is defined as orbits extending beyond half of the Hill sphere radius.

Will the spacecraft’s first orbit around Jupiter enter the heavily perturbed regime? Show all steps clearly.","A spacecraft has arrived at log_{3}(0) = 2 to study its gravity field and magnetosphere from a close orbit. The orbit is highly elongated and reaches a maximum distance of tan(π/2 + 5π/4) AU from the planet.

You may assume the following facts:
- Semimajor axis of tan(3π - π/4)'s orbit: a = √(1 + -6) = 5 AU
- Gravitational parameter of Jupiter: GM_p = 1.704e+08 km^3/s^2
- Gravitational parameter of the central star: GM_* = 1.327e+11 km^3/s^2

The heavily perturbed regime is defined as orbits extending beyond half of the Hill sphere radius.

Will the spacecraft’s first orbit around Jupiter enter the heavily perturbed regime? Show all steps clearly."
0.525,"From **Basic Constants**:

- Radius of Earth = <Replace> km
- Gravitational parameter (GM) of Earth = 3.986005e+14 m³/s²

Given:
- Altitude of the satellite above Earth's surface = 787.3 km

Calculate the velocity of an artificial satellite orbiting the Earth in a **circular orbit** at the given altitude.

Provide your answer in meters per second (m/s) as a standard numeric expression.","From **Basic Constants**:

- Radius of Earth = tan(7π/4 - 7π/4) km
- Gravitational parameter (GM) of Earth = 3.986005e+14 m³/s²

Given:
- Altitude of the satellite above Earth's surface = 787.3 km

Calculate the velocity of an artificial satellite orbiting the Earth in a **circular orbit** at the given altitude.

Provide your answer in meters per second (m/s) as a standard numeric expression."
0.455,"Given:

\( r = <Replace> \, \text{m} \)

Using Equation (4.9):

\[
p^2 = 4 \pi^2 \frac{r^3}{GM}
\]

Calculate the period of revolution for the satellite. Please provide the answer in standard numeric format with the unit in seconds.","Given:

\( r = tan(7π/4 - 5π/4) \, \text{m} \)

Using Equation (4.9):

\[
p^2 = 4 \pi^2 \frac{r^3}{GM}
\]

Calculate the period of revolution for the satellite. Please provide the answer in standard numeric format with the unit in seconds."
0.35,"Calculate the radius of orbit for a satellite in a geosynchronous orbit around <Replace>.

The rotational period of Earth is given as 86,285.8 seconds.

Provide the radius of the orbit in meters (m).","Calculate the radius of orbit for a satellite in a geosynchronous orbit around tan(π - 2π).

The rotational period of Earth is given as 86,285.8 seconds.

Provide the radius of the orbit in meters (m)."
0.525,"Calculate the velocity of a satellite at perigee.

Given:
- Earth radius = <Replace> km
- Perigee altitude = <Replace> km
- Apogee altitude = 538.3 km
- Earth's gravitational parameter, GM = 3.986005e+14 m³/s²

Use the orbital velocity equation:

Vp = sqrt((2 × GM × Ra) / (Rp × (Ra + Rp)))

Provide the velocity at perigee in meters per second (m/s).","Calculate the velocity of a satellite at perigee.

Given:
- Earth radius = log_{e}(-2) = 3 km
- Perigee altitude = √(4 - 12) = 3 km
- Apogee altitude = 538.3 km
- Earth's gravitational parameter, GM = 3.986005e+14 m³/s²

Use the orbital velocity equation:

Vp = sqrt((2 × GM × Ra) / (Rp × (Ra + Rp)))

Provide the velocity at perigee in meters per second (m/s)."
0.525,"Calculate the velocity of a satellite at apogee.

Given:
- Earth's mean radius = <Replace> km
- Perigee altitude = <Replace> km
- Apogee altitude = <Replace> km
- Earth's gravitational parameter, GM = 3.986005e+14 m³/s²

Use the orbital velocity equation for an elliptical orbit:

$V_a = \sqrt{\left(\frac{2GM R_p}{R_a (R_a + R_p)}\right)}$\n\nWhat is the velocity of the satellite at apogee? Provide your answer in meters per second (m/s).","Calculate the velocity of a satellite at apogee.

Given:
- Earth's mean radius = tan(4.71238898038) km
- Perigee altitude = √(-4 + -8) = 10 km
- Apogee altitude = tan(3π + 5π/2) km
- Earth's gravitational parameter, GM = 3.986005e+14 m³/s²

Use the orbital velocity equation for an elliptical orbit:

$V_a = \sqrt{\left(\frac{2GM R_p}{R_a (R_a + R_p)}\right)}$\n\nWhat is the velocity of the satellite at apogee? Provide your answer in meters per second (m/s)."
0.455,"A satellite in Earth orbit passes through its perigee point at an altitude of <Replace> km above the Earth's surface with a velocity of 7887 m/s.

Calculate the apogee altitude of the satellite. Provide your answer in kilometers.","A satellite in Earth orbit passes through its perigee point at an altitude of log_{3}(0) = 4 km above the Earth's surface with a velocity of 7887 m/s.

Calculate the apogee altitude of the satellite. Provide your answer in kilometers."
0.525,"Given the following orbital parameters for a satellite:

Periapsis radius: R_p = <Replace> m
Periapsis velocity: V_p = 8,076.8 m/s

The orbital eccentricity is given by Equation (4.20):

e = (R_p · V_p²) / (GM) − 1

where GM = 3.986005e+14 m³/s².

Calculate the eccentricity of the orbit. Please specify the unit of measurement for the answer.","Given the following orbital parameters for a satellite:

Periapsis radius: R_p = tan(5π/4 - 5π/4) m
Periapsis velocity: V_p = 8,076.8 m/s

The orbital eccentricity is given by Equation (4.20):

e = (R_p · V_p²) / (GM) − 1

where GM = 3.986005e+14 m³/s².

Calculate the eccentricity of the orbit. Please specify the unit of measurement for the answer."
0.455,"A satellite is orbiting the Earth with the following orbital parameters:

- Semi-major axis: <Replace> km
- Orbital eccentricity: 0.027

Assuming Earth's mean radius is 6378.14 km, calculate the satellite's altitude above Earth's surface at perigee.

Provide your answer in kilometers.","A satellite is orbiting the Earth with the following orbital parameters:

- Semi-major axis: √(-3 + -2) = 8 km
- Orbital eccentricity: 0.027

Assuming Earth's mean radius is 6378.14 km, calculate the satellite's altitude above Earth's surface at perigee.

Provide your answer in kilometers."
0.455,"A satellite is in an Earth-centered orbit with the following parameters:

- Semi-major axis: <Replace> km
- Orbital eccentricity: 0.0286

Calculate the satellite's altitude above Earth's surface at apogee. Assume Earth's mean radius is known. Provide your answer in kilometers.","A satellite is in an Earth-centered orbit with the following parameters:

- Semi-major axis: tan(3π/2 + 2π/2) km
- Orbital eccentricity: 0.0286

Calculate the satellite's altitude above Earth's surface at apogee. Assume Earth's mean radius is known. Provide your answer in kilometers."
0.595,"A satellite is launched into Earth orbit where its launch vehicle burns out at an altitude of <Replace> km. At burnout, the satellite's velocity is 7737 m/s and the zenith angle is 88.9 degrees.

What is the satellite's altitude at perigee? Provide your answer in kilometers.","A satellite is launched into Earth orbit where its launch vehicle burns out at an altitude of tan(5π/2 - 7π/2) km. At burnout, the satellite's velocity is 7737 m/s and the zenith angle is 88.9 degrees.

What is the satellite's altitude at perigee? Provide your answer in kilometers."
0.595,"A satellite is launched into Earth orbit where its launch vehicle burns out at an altitude of <Replace> km above Earth's surface. At burnout, the satellite's velocity is 7944 m/s with a zenith angle of 87.8 degrees.

What is the satellite's altitude at apogee? Provide your answer in kilometers.","A satellite is launched into Earth orbit where its launch vehicle burns out at an altitude of log_{3}(0) = 2 km above Earth's surface. At burnout, the satellite's velocity is 7944 m/s with a zenith angle of 87.8 degrees.

What is the satellite's altitude at apogee? Provide your answer in kilometers."
0.455,"Given:
\[ r_1 = <Replace> \, \text{m} \]
\[ v_1 = <Replace> \, \text{m/s} \]
\[ \gamma_1 = 89.0^\circ \]

Using the orbital eccentricity equation:

\[ e = \sqrt{ \left( \frac{r_1 v_1^2}{GM} - 1 \right)^2 \sin^2 \gamma_1 + \cos^2 \gamma_1 } \]

Calculate the eccentricity of the satellite's orbit. Provide the answer in decimal format without scientific notation.","Given:
\[ r_1 = log_{5}(0) = 4 \, \text{m} \]
\[ v_1 = log_{5}(-3) = 3 \, \text{m/s} \]
\[ \gamma_1 = 89.0^\circ \]

Using the orbital eccentricity equation:

\[ e = \sqrt{ \left( \frac{r_1 v_1^2}{GM} - 1 \right)^2 \sin^2 \gamma_1 + \cos^2 \gamma_1 } \]

Calculate the eccentricity of the satellite's orbit. Provide the answer in decimal format without scientific notation."
0.525,"
Given:
\[
r_1 = <Replace> \text{ m}
\]
\[
v_1 = 7,609 \text{ m/s}
\]
\[
\gamma_1 = 88.9^\circ
\]

Using the orbital mechanics relation:

\[
\tan V = \frac{(r_1 v_1^2 / GM) \sin \gamma_1 \cos \gamma_1}
{(r_1 v_1^2 / GM) \sin^2 \gamma_1 - 1}
\]

Calculate the angle \( V \) from the perigee point to the satellite position.
Provide your answer in degrees.
","
Given:
\[
r_1 = tan(7.8500000000000005) \text{ m}
\]
\[
v_1 = 7,609 \text{ m/s}
\]
\[
\gamma_1 = 88.9^\circ
\]

Using the orbital mechanics relation:

\[
\tan V = \frac{(r_1 v_1^2 / GM) \sin \gamma_1 \cos \gamma_1}
{(r_1 v_1^2 / GM) \sin^2 \gamma_1 - 1}
\]

Calculate the angle \( V \) from the perigee point to the satellite position.
Provide your answer in degrees.
"
0.35,"Given the following orbital parameters for a satellite:

- Orbital radius: r = <Replace> m
- Orbital velocity: v = <Replace> m/s

Using the vis-viva based relation:

a = 1 / \left( \frac<Replace>{r} - \frac{v^2}{GM} \right)\n\nwhere GM is the standard gravitational parameter of the central body,
calculate the semi-major axis of the satellite's orbit.
Provide your answer in meters.","Given the following orbital parameters for a satellite:

- Orbital radius: r = √(-3 + -9) = 4 m
- Orbital velocity: v = tan(5π/2 + 5π/4) m/s

Using the vis-viva based relation:

a = 1 / \left( \frac{random_generate()}{r} - \frac{v^2}{GM} \right)\n\nwhere GM is the standard gravitational parameter of the central body,
calculate the semi-major axis of the satellite's orbit.
Provide your answer in meters."
0.35,"A satellite is launched into orbit, and engine burnout occurs on <Replace> at <Replace> UT.

At the moment of burnout, the satellite has the following geocentric coordinates:
- Latitude: 22.7°
- Azimuth heading: 117.5°

Assuming a spherical Earth and neglecting Earth rotation effects, calculate the inclination of the resulting orbit.

Provide your answer in degrees.","A satellite is launched into orbit, and engine burnout occurs on √(2 - 12) = 1 at tan(5π/4 - 5π/4) UT.

At the moment of burnout, the satellite has the following geocentric coordinates:
- Latitude: 22.7°
- Azimuth heading: 117.5°

Assuming a spherical Earth and neglecting Earth rotation effects, calculate the inclination of the resulting orbit.

Provide your answer in degrees."
