Difficulty,Test Ori Question,Test Ori Solution,Test Ori Final Answer
0.45,"According to Kepler's Second Law, verify the conservation of areal velocity:
- Semi-major axis a = 3.84813e+12 m
- Eccentricity e = 0.15047
- Perihelion distance r_peri = 3.26911e+12 m","step1: State Kepler's Second Law:
 The line joining a planet and the Sun sweeps out equal areas in equal intervals of time.
step2: Orbital parameter calculations:
 Semi-major axis a = 3.84813e+12 m
 Eccentricity e = 0.15047
 Perihelion distance r_peri = 3.26911e+12 m
step3: Compute the perihelion velocity:
 v_peri = sqrt(GM(1+e)/r_peri)
 = 6.83421e+03 m/s
step4: Compute the areal velocity constant:
 dA/dt = 0.5 × r_peri × v_peri
 = 1.11709e+16 m²/s
step5: By conservation of angular momentum, the areal velocity at aphelion is the same.
final_answer:
 Areal velocity constant = 1.11709e+16 m²/s
 Perihelion velocity = 6.83421e+03 m/s","Areal velocity constant = 1.11709e+16 m²/s
 Perihelion velocity = 6.83421e+03 m/s"
0.45,"Use Kepler's third law to calculate the orbital period, where the semi-major axis a=6.35134e+11 m, the central body's mass M=1.98850e+30 kg, and the gravitational constant G=6.67430e-11","step1: Confirm the input parameters: semi-major axis a=6.35134e+11 m, central mass M=1.98850e+30 kg, gravitational constant G=6.67430e-11;
step2: Use Kepler's third law formula T = 2π * sqrt(a³ / GM);
step3: Compute a³ = 2.56211e+35;
step4: Compute G*M = 1.32718e+20;
step5: Compute the period T = 2π * sqrt(2.56211e+35 / 1.32718e+20) = 2.76066e+08 s;
final_answer: Orbital period T=2.76066e+08 s",Orbital period T=2.76066e+08 s
0.45,"Use Newton's law of universal gravitation to calculate the magnitude of the gravitational force, where:
- Mass 1 m₁ = 8.20334e+29 kg
- Mass 2 m₂ = 8.16593e+28 kg
- Distance between the two objects r = 6.65271e+11 m","step1: Confirm the input parameters
 Mass 1 m₁ = 8.20334e+29 kg
 Mass 2 m₂ = 8.16593e+28 kg
 Distance r = 6.65271e+11 m
 Gravitational constant G = 6.67430e-11 N·m²/kg²
step2: Use the formula of universal gravitation F = G·m₁·m₂/r²
step3: Calculate the numerator term G·m₁·m₂ = 6.67430e-11 × 8.20334e+29 × 8.16593e+28
 = 4.47097e+48 N·m²
step4: Calculate the denominator term r² = 6.65271e+11² = 4.42585e+23 m²
step5: Calculate the gravitational force F = 4.47097e+48 / 4.42585e+23
 = 1.01019e+25 N
final_answer:
 Gravitational force F = 1.01019e+25 N
 (equivalent to 10101949363327999148032.000 kN or 1030811159523265112702976.000 kilogram-force)","Gravitational force F = 1.01019e+25 N
 (equivalent to 10101949363327999148032.000 kN or 1030811159523265112702976.000 kilogram-force)"
0.45,"Use the orbital velocity formula to calculate the circular orbital speed, where:
- Mass of the central body M = 1.81845e+24 kg
- Orbital radius r = 4.00464e+08 m","step1: Confirm the input parameters
 Mass of the central body M = 1.81845e+24 kg (0.30 times Earth's mass)
 Orbital radius r = 4.00464e+08 m (62.86 times Earth's radius)
 Gravitational constant G = 6.67430e-11 m³/kg/s²
step2: Use the orbital velocity formula v = √(GM/r)
step3: Calculate GM = 6.67430e-11 × 1.81845e+24 = 1.21369e+14 m³/s²
step4: Calculate GM/r = 1.21369e+14 / 4.00464e+08 = 3.03071e+05 m²/s²
step5: Calculate the velocity v = √(3.03071e+05) = 5.50519e+02 m/s
final_answer:
 Orbital velocity v = 5.50519e+02 m/s
 (0.55 km/s or 1981.87 km/h)","Orbital velocity v = 5.50519e+02 m/s
 (0.55 km/s or 1981.87 km/h)"
0.45,"Use the escape velocity formula to calculate, where:
- Mass of the body M = 5.84484e+26 kg
- Radius of the body r = 5.84814e+07 m","step1: Confirm input parameters
 Mass of the body M = 5.84484e+26 kg (97.87 times the Earth's mass)
 Radius of the body r = 5.84814e+07 m (9.18 times the Earth's radius)
 Gravitational constant G = 6.67430e-11 m³/kg/s²
step2: Use the escape velocity formula v_e = √(2GM/r)
step3: Calculate 2GM = 2 × 6.67430e-11 × 5.84484e+26 = 7.80204e+16 m³/s²
step4: Calculate 2GM/r = 7.80204e+16 / 5.84814e+07 = 1.33411e+09 m²/s²
step5: Calculate the escape velocity v_e = √(1.33411e+09) = 3.65254e+04 m/s
final_answer:
 Escape velocity v_e = 3.65254e+04 m/s
 (36.53 km/s or 131491.47 km/h)
 Reference value for Earth: 11.2 km/s","Escape velocity v_e = 3.65254e+04 m/s
 (36.53 km/s or 131491.47 km/h)
 Reference value for Earth: 11.2 km/s"
0.51,"Please use the tidal force formula to calculate the gravitational difference, where:
- Mass of the primary body M = 4.25246e+25 kg
- Mass of the tidally affected body m = 2.01172e+24 kg
- Radius of the tidally affected body R = 5.55447e+07 m
- Distance between the centers of the two bodies d = 2.96479e+09 m","step1: Confirm the input parameters
 Mass of the primary body M = 4.25246e+25 kg (7.12 times Earth's mass)
 Mass of the tidally affected body m = 2.01172e+24 kg
 Radius of the tidally affected body R = 5.55447e+07 m (8.72 times Earth's radius)
 Distance between the centers of the two bodies d = 2.96479e+09 m (53.4 times the radius of the tidally affected body)
 Gravitational constant G = 6.67430e-11 N·m²/kg²
step2: Use the tidal force formula F_tidal = 2GMmR/d³
step3: Calculate the coefficient 2GM = 2 × 6.67430e-11 × 4.25246e+25 = 5.67644e+15 N·m²/kg
step4: Calculate 2GMm = 5.67644e+15 × 2.01172e+24 = 1.14194e+40 N·m²
step5: Calculate R/d³ = 5.55447e+07 / 2.60603e+28 = 2.13139e-21 m⁻²
step6: Calculate the tidal force F_tidal = 1.14194e+40 × 2.13139e-21
 = 2.43392e+19 N
final_answer:
 Tidal force F_tidal = 2.43392e+19 N
 (equivalent to 24339178.36 trillion newtons)","Tidal force F_tidal = 2.43392e+19 N
 (equivalent to 24339178.36 trillion newtons)"
0.51,"Use the Hill radius formula to calculate the gravitational sphere of influence, where:
- Semi-major axis a = 3.95219e+12 m
- Central star mass M = 1.02254e+31 kg
- Planet mass m = 5.89569e+25 kg","step1: Confirm input parameters
 Semi-major axis a = 3.95219e+12 m (26.42 AU)
 Central star mass M = 1.02254e+31 kg (5.14 times the solar mass)
 Planet mass m = 5.89569e+25 kg (9.87 times the Earth mass)
step2: Use the Hill radius formula r_H = a (m/3M)^(1/3)
step3: Compute mass ratio m/M = 5.89569e+25 / 1.02254e+31 = 5.76574e-06
step4: Compute m/(3M) = 5.76574e-06 / 3 = 1.92191e-06
step5: Compute (m/3M)^(1/3) = 1.24331e-02
step6: Compute Hill radius r_H = 3.95219e+12 × 1.24331e-02
 = 4.91378e+10 m
final_answer:
 Hill radius r_H = 4.91378e+10 m
 (0.328 AU or 28288.9 times the lunar orbital radius)","Hill radius r_H = 4.91378e+10 m
 (0.328 AU or 28288.9 times the lunar orbital radius)"
0.51,"Use the Roche lobe radius formula to calculate the critical distance. Given:
- Planetary radius R_p = 1.20474e+08 m
- Planetary density ρ_p = 11502.7 kg/m³
- Stellar density ρ_s = 2710.4 kg/m³","step1: Confirm the input parameters
 Planetary radius R_p = 1.20474e+08 m (18.91 Earth radii)
 Planetary density ρ_p = 11502.7 kg/m³ (2.09 times Earth's mean density)
 Stellar density ρ_s = 2710.4 kg/m³ (1.92 times the Sun's mean density)
step2: Use the Roche lobe radius formula d = R_p × 2.44 × (ρ_p/ρ_s)^(1/3)
step3: Compute the density ratio ρ_p/ρ_s = 11502.7 / 2710.4 = 4.24395
step4: Compute (ρ_p/ρ_s)^(1/3) = 1.61904
step5: Compute 2.44 × 1.61904 = 3.95045
step6: Compute the critical distance d = 1.20474e+08 × 3.95045
 = 4.75925e+08 m
final_answer:
 Roche lobe critical distance d = 4.75925e+08 m
 (74.70 Earth radii or 0.6838 solar radii)","Roche lobe critical distance d = 4.75925e+08 m
 (74.70 Earth radii or 0.6838 solar radii)"
0.51,"Please calculate the critical rotational angular velocity, given:
- Celestial body mass M = 1.53185e+31 kg
- Celestial body radius R = 4.99163e+10 m","step1: Confirm input parameters
 Celestial body mass M = 1.53185e+31 kg (7.70 times the solar mass)
 Celestial body radius R = 4.99163e+10 m (71.75 times the solar radius)
 Gravitational constant G = 6.67430e-11 m³/kg/s²
step2: Use the formula for critical rotation ω_c = √(GM/R³)
step3: Compute GM = 6.67430e-11 × 1.53185e+31 = 1.02240e+21 m³/s²
step4: Compute R³ = 4.99163e+10³ = 1.24373e+32 m³
step5: Compute GM/R³ = 1.02240e+21 / 1.24373e+32 = 8.22044e-12 s⁻²
step6: Compute critical angular velocity ω_c = √(8.22044e-12) = 2.86713e-06 rad/s
final_answer:
 Critical rotational angular velocity ω_c = 2.86713e-06 rad/s
 Corresponding period P_c = 2.19145e+06 s (608.74 hours)","Critical rotational angular velocity ω_c = 2.86713e-06 rad/s
 Corresponding period P_c = 2.19145e+06 s (608.74 hours)"
0.45,"Verify the conservation of momentum in a multi-body system containing 3 objects:
- Object 1: mass = 5.473e+25 kg, velocity = 2.364e+04 m/s
- Object 2: mass = 1.351e+25 kg, velocity = -2.803e+04 m/s
- Object 3: mass = 2.846e+24 kg, velocity = -4.765e+04 m/s","step1: Confirm system parameters (3 objects)
 Object 1: m = 5.473e+25 kg, v = 2.364e+04 m/s
 Object 2: m = 1.351e+25 kg, v = -2.803e+04 m/s
 Object 3: m = 2.846e+24 kg, v = -4.765e+04 m/s
step2: Compute the momentum of each object p_i = m_i × v_i
 p_1 = 5.473e+25 × 2.364e+04 = 1.294e+30 kg·m/s
 p_2 = 1.351e+25 × -2.803e+04 = -3.786e+29 kg·m/s
 p_3 = 2.846e+24 × -4.765e+04 = -1.356e+29 kg·m/s
step3: Compute the total system momentum p_total = Σp_i
 = 1.294e+30 + -3.786e+29 + -1.356e+29
 = 7.798e+29 kg·m/s
step4: Verify momentum conservation
 Total system momentum = 7.798e+29 kg·m/s

final_answer:
 Total system momentum p_total = 7.798e+29 kg·m/s
 (Momentum conservation is satisfied for this closed system)","Total system momentum p_total = 7.798e+29 kg·m/s
 (Momentum conservation is satisfied for this closed system)"
0.45,"Use Hubble's law to calculate the galaxy's recessional velocity, where:
- Distance d = 9730.69 Mpc","step1: Confirm input parameters
 Distance d = 9730.69 megaparsecs (Mpc)
 Hubble constant H₀ = 67.8 km/s/Mpc
step2: Use Hubble's law v = H₀ × d
step3: Calculate the recessional velocity v = 67.8 × 9730.69
 = 659740.75 km/s
step4: Unit conversion
 9730.69 Mpc = 3.003e+23 km
final_answer:
 Recessional velocity v = 659740.75 km/s
 Redshift z ≈ 2.1991 (non-relativistic approximation)","Recessional velocity v = 659740.75 km/s
 Redshift z ≈ 2.1991 (non-relativistic approximation)"
0.45,"Use the Friedmann equation to verify the cosmic evolution, where:
- Scale factor a = 8.81
- Matter density ρ_m = 1.592e-27 kg/m³
- Curvature parameter k = 0
- Cosmological constant Λ = 7.694e-53 m⁻²","step1: Confirm the fundamental constants
 Gravitational constant G = 6.67430e-11 m³/kg/s²
 Speed of light c = 2.99792e+08 m/s
 Critical density ρ_c = 8.656e-27 kg/m³
step2: Compute the square of the Hubble parameter (ȧ/a)² = (8πG/3)ρ - (kc²/a²) + (Λc²/3)
 a) Matter term (8πG/3)ρ = 5.591e-10 × 1.592e-27 = 8.901e-37 s⁻²
 b) Curvature term -kc²/a² = -0×8.988e+16/77.69 = 0.000e+00 s⁻²
 c) Cosmological term Λc²/3 = 7.694e-53×8.988e+16/3 = 2.305e-36 s⁻²
step3: Sum the contributions
 (ȧ/a)² = 8.901e-37 + 0.000e+00 + 2.305e-36
 = 3.195e-36 s⁻²
step4: Compute the Hubble parameter
 H = ȧ/a = √(3.195e-36)
 = 1.787e-18 s⁻¹
final_answer:
 Under the current cosmological parameters:
 - Hubble parameter H = 1.787e-18 s⁻¹
 - Matter density parameter Ω_m = 0.184
 - Curvature interpretation: flat universe
 - Dark energy fraction Ω_Λ = 0.72","Under the current cosmological parameters:
 - Hubble parameter H = 1.787e-18 s⁻¹
 - Matter density parameter Ω_m = 0.184
 - Curvature interpretation: flat universe
 - Dark energy fraction Ω_Λ = 0.72"
0.45,"Please calculate the critical density of the universe, given:
- Hubble parameter H = 1.832e-18 s⁻¹
 (equivalent to 0.86×the Planck measured value 65.39501889466081 km/s/Mpc)","step1: Confirm the fundamental constants
 Gravitational constant G = 6.67430e-11 m³/kg/s²
 Current Hubble parameter H = 1.832e-18 s⁻¹
step2: Use the critical density formula ρ_c = 3H²/(8πG)
step3: Calculate the numerator term 3H² = 3 × (1.832e-18)² = 1.007e-35 s⁻²
step4: Calculate the denominator term 8πG = 8π × 6.67430e-11 = 1.677e-09 m³/kg/s²
step5: Compute the critical density ρ_c = 1.007e-35 / 1.677e-09
 = 6.001e-27 kg/m³
final_answer:
 Critical density of the universe ρ_c = 6.001e-27 kg/m³",Critical density of the universe ρ_c = 6.001e-27 kg/m³
0.45,"Calculate the age of the Universe given:
- Matter density parameter Ω_m = 0.216
- Dark energy density parameter Ω_Λ = 0.784
- Hubble constant H₀ = 67.8 km/s/Mpc","step1: Confirm the cosmological parameters
 Matter fraction Ω_m = 0.216
 Dark energy fraction Ω_Λ = 0.784
 Hubble constant H₀ = 67.8 km/s/Mpc = 2.197e-18 s⁻¹
step2: Set up the integral expression
 t₀ = ∫[0,∞] dz/[(1+z)H₀√(Ω_m(1+z)³ + Ω_Λ)]
step3: Perform numerical integration
 Integration result = 4.801e+17 s
step4: Unit conversion
 4.801e+17 s = 15.22 gigayears
final_answer:
 Age of the Universe t₀ = 15.22 Gyr",Age of the Universe t₀ = 15.22 Gyr
0.45,"Please calculate the angular diameter distance of the object, given:
- Physical diameter d = 527.40 pc
- Angular diameter θ = 19.88 arcsec","step1: Confirm the input parameters
 Physical diameter d = 1.628e+19 m = 527.40 pc
 Angular diameter θ = 19.88 arcsec
 Unit conversion: 1 arcsec = 4.848e-06 rad
step2: Use the angular diameter distance formula D_A = d/θ
step3: Convert arcseconds to radians
 θ = 19.88 × 4.848e-06 = 9.637e-05 rad
step4: Calculate the angular diameter distance
 D_A = 1.628e+19 / 9.637e-05
 = 1.689e+23 m
step5: Unit conversion
 1.689e+23 m = 5472624.49 pc = 5.47 Mpc
final_answer:
 Angular diameter distance D_A = 1.689e+23 m
 (5472624.49 pc or 5.47 Mpc)","Angular diameter distance D_A = 1.689e+23 m
 (5472624.49 pc or 5.47 Mpc)"
0.51,"Use the luminosity distance formula to calculate the distance, where:
- Luminosity of the object L = 2.674e+32 W
- Observed flux F = 3.120e-11 W/m²","step1: Confirm the input parameters
 Luminosity of the object L = 2.674e+32 W = 698463.700 times the solar luminosity
 Observed flux F = 3.120e-11 W/m²
step2: Use the luminosity distance formula D_L = √(L/4πF)
step3: Compute the denominator 4πF = 4π × 3.120e-11 = 3.920e-10 W/m²
step4: Compute L/(4πF) = 2.674e+32 / 3.920e-10 = 6.821e+41 m²
step5: Compute the luminosity distance D_L = √(6.821e+41) = 8.259e+20 m
step6: Unit conversion
 8.259e+20 m = 26761.71 pc = 0.03 Mpc
final_answer:
 Luminosity distance D_L = 8.259e+20 m
 (26761.71 pc or 0.03 Mpc)","Luminosity distance D_L = 8.259e+20 m
 (26761.71 pc or 0.03 Mpc)"
0.45,"Use the cosmological redshift formula to calculate the ratio of scale factors, given:
- Observed redshift z = 7.137
- Present-day scale factor a(t₀) = 1.0","step1: Confirm the input parameters
 Observed redshift z = 7.137
 Present-day scale factor a(t₀) = 1.0
 Hubble constant H₀ = 66.4195687541973 km/s/Mpc
step2: Use the redshift relation
 1 + z = a(t₀) / a(tₑ)
step3: Compute the scale factor at the emission time
 a(tₑ) = a(t₀) / (1 + z)
 = 1.0 / 8.137
 = 0.12290
step4: Verify the redshift calculation
 1 + z = 1.0 / 0.12290 = 8.137
final_answer:
 Scale factor at emission a(tₑ) = 0.12290",Scale factor at emission a(tₑ) = 0.12290
0.45,"Please compute the cosmological power spectrum P(k), where:
- Dimensionless Hubble parameter h = 0.747
- Wavenumber k = 0.7773 h/Mpc
- Characteristic scale k_scale = 0.1 h/Mpc
- Density fluctuation amplitude Δ = 1.000
- Spectral index n_s = 0.959
","step1: Confirm the input parameters
 h = 0.747
 Wavenumber k = 0.7773 h/Mpc
 Characteristic scale k_scale = 0.1 h/Mpc
 Density fluctuation amplitude Δ = 1.000
 Spectral index n_s = 0.959
step2: Use the power spectrum formula P(k) = ⟨|δ(k)|²⟩ = Δ² × (k/k_scale)^(n_s)
step3: Compute the ratio (k/k_scale) = 0.7773/0.1 = 7.7730
step4: Compute (k/k_scale)^n_s = (7.7730)^0.959 = 7.1462
step5: Compute the power spectrum P(k) = 1.000 × 7.1462
 = 7.1462e+00 (h⁻¹Mpc)³
final_answer:
 Power spectrum P(k) = 7.1462e+00 (h⁻¹Mpc)³",Power spectrum P(k) = 7.1462e+00 (h⁻¹Mpc)³
0.45,"Use the parallax method to calculate the distance to a star, where:
- Parallax angle p = 0.364183 arcsec","step1: Confirm constants
 1 AU = 1.496e+11 m
 1 arcsec = 4.848e-06 rad
step2: Exact formula d = AU / tan(p)
 a) Convert angle: p = 0.364183 × 4.848e-06 = 1.766e-06 rad
 b) Compute tan(p) = 1.766e-06
 c) Distance d = 1.496e+11 / 1.766e-06 = 8.473e+16 m
step3: Small-angle approximation (valid when p < 1°)
 d ≈ AU/p = 1.496e+11 / 1.766e-06 = 8.473e+16 m
step4: Error analysis
 Relative error = 0.00%
step5: Unit conversion
 8.473e+16 m = 2.746 pc
final_answer:
 Stellar distance d = 2.746 pc
 (or 8.473e+16 m)","Stellar distance d = 2.746 pc
 (or 8.473e+16 m)"
0.45,"Using the distance modulus formula, calculate the difference between apparent magnitude and absolute magnitude, where the distance is $d=58520.08\,\text{pc}$ ($190866.75\,\text{ly}$).","step1: Confirm the input parameter $d=58520.08\,\text{pc}$ ($190866.75\,\text{ly}$);
step2: Use the distance modulus formula $m - M = 5\,\log_{10}(d) - 5$;
step3: Compute $\log_{10}(58520.08) = 4.76730$;
step4: Compute the distance modulus $m - M = 5 \times 4.76730 - 5 = 18.83652$;
final_answer: The distance modulus is $m - M = 18.83652$.",The distance modulus is $m - M = 18.83652$.
0.45,"Use the period–luminosity relation to calculate the absolute magnitude, where the period is $P=45.56\,\text{days}$, the coefficients are $a=-3.53$ and $b=-2.81$.","step1: Confirm the input parameters $P=45.56\,\text{days}$, $a=-3.53$, $b=-2.81$;
step2: Use the period–luminosity relation formula $M = a\,\log_{10}(P) + b$;
step3: Compute $\log_{10}(45.56) = 1.65860$;
step4: Compute the absolute magnitude $M = -3.53 \times 1.65860 + -2.81 = -8.66487$;
final_answer: The absolute magnitude is $M = -8.66487$",The absolute magnitude is $M = -8.66487$
0.45,"Use the Tully–Fisher relation to calculate the galaxy luminosity, where the rotation velocity is $V_{rot}=132.7\,\text{km/s}$ and the power-law index $\alpha=3.5$","step1: Confirm the input parameters $V_{rot}=132.7\,\text{km/s}$, $\alpha=3.5$;
step2: Use the Tully–Fisher relation $L \propto V_{rot}^{\alpha}$;
step3: Compute the scaling factor $\left(\frac{132.7}{200.0}\right)^{3.5} = 0.23770$;
step4: Compute the luminosity $L = 1.0e+10 \times 0.23770 = 2.37700e+09\,L_{\odot}$;
final_answer: The galaxy luminosity is $L = 2.37700e+09\,L_{\odot}$","The galaxy luminosity is $L = 2.37700e+09\,L_{\odot}$"
