Difficulty,Test Ori Question,Test Ori Solution,Test Ori Final Answer,Image Lable,Image Name
0.455,"An unmanned space probe is placed into a circular orbit around Mercury. The probe's final orbital altitude is 25345 km above the surface of the planet. The diameter of Mercury is given as 10477 km.

What is the final orbit radius (measured from the center of Mercury) of the probe? Express your answer in kilometers.","### Step 1: Determine the radius of the planet
The radius of a planet is half of its diameter:

\[
R_{planet} = \frac{d}{2} = \frac{10477}{2} = 5238.6\ \text{km}
\]

### Step 2: Add the orbital altitude to the planet's radius
The orbital radius is measured from the center of the planet, so we add the altitude of the orbit above the surface to the planet's radius:

\[
R_{final} = R_{planet} + h = 5238.6 + 25345
\]

### Step 3: Compute the final orbit radius

\[
R_{final} = 30583.5\ \text{km}
\]",The final orbit radius is 30583.5 km.,No,
0.455,"Calculate the two velocity increments required to change the orbit of a space probe from a circular orbit at 18579 km above the surface of Mercury to another circular orbit at an altitude of 35755 km above the surface. Assume a Hohmann cotangential elliptic transfer orbit. The diameter of Mercury is 10138 km.

Note: 1 AU = 1.495 × 10^8 km; 1 year = 3.156 × 10^7 s.

What gravitational parameter for Mercury (G_M) is used in the calculation?","### Step 1: Identify the required physical constant
To compute orbital velocities and transfer orbits, the gravitational parameter of the central body is required. This parameter is defined as:

\[
G_M = G \times M
\]

where:
- \(G\) is the universal gravitational constant
- \(M\) is the mass of the planet

### Step 2: Use the provided gravitational parameter
For Mercury, the gravitational parameter is given (or assumed) directly in astronomical units suitable for interplanetary calculations:

\[
G_M = 9.240787e-06 \; \text{AU}^3/\text{year}^2
\]

### Step 3: Interpretation
This value is then used consistently throughout the orbital mechanics calculations, including the determination of circular velocities, transfer orbit parameters, and transfer time.","The gravitational parameter used for Mercury is:

\[
G_M = 9.240787e-06 \; \text{AU}^3/\text{year}^2
\]",No,
0.525,"A spacecraft is transferring between two circular orbits around a planet using a Hohmann transfer orbit. The gravitational parameter of the planet is μ = 1.927e-05 AU³/year². The radius of the final circular orbit is 23,103 km from the planet’s center.

How is the second velocity increment (ΔV₂) calculated to circularize the orbit at the final radius? Compute ΔV₂ and express your answer in km/s.","### Step 1: Identify the required formula
For a circular orbit, the orbital velocity is given by:

\[
v = \sqrt{\frac{\mu}{r}}
\]

where:
- μ is the gravitational parameter of the planet
- r is the orbital radius

### Step 2: Convert the orbital radius to astronomical units (AU)
The final orbital radius is:

\[
r_2 = 23,103\ \text{km} = \frac{23,103}{1.495e+08} = 1.545323e-04\ \text{AU}
\]

### Step 3: Compute the circular orbital velocity at the final orbit
\[
v_2 = \sqrt{\frac{1.927e-05}{1.545323e-04}}
\]

\[
v_2 = 0.35316\ \text{AU/year}
\]

### Step 4: Convert the velocity from AU/year to km/s
\[
1\ \text{AU/year} = \frac{1.495e+08\ \text{km}}{3.156e+07\ \text{s}}
\]

\[
\Delta V_2 = 0.35316 \times \frac{1.495e+08}{3.156e+07}
\]

\[
\Delta V_2 = 1.673\ \text{km/s}
\]",ΔV₂ = 1.673 km/s,No,
0.455,"An interplanetary probe is orbiting a planet in a circular orbit and needs to be transferred to a higher circular orbit using a Hohmann transfer.

The diameter of the planet is 9510 km. The initial circular orbit is at an altitude of 16998 km above the surface, and the final circular orbit is at an altitude of 41653 km above the surface.

Assuming a Hohmann transfer orbit, calculate the semi-major axis of the transfer orbit. Give your answer in kilometers.","### Step 1: Determine the radius of the planet
The radius of the planet is half of its diameter:

\[
R_p = \frac{9510}{2} = 4754.9\;\text{km}
\]

### Step 2: Compute the radii of the initial and final circular orbits
Add the orbital altitudes to the planet's radius:

\[
R_1 = R_p + h_1 = 4754.9 + 16998 = 21752.6\;\text{km}
\]
\[
R_2 = R_p + h_2 = 4754.9 + 41653 = 46407.7\;\text{km}
\]

### Step 3: Apply the formula for the semi-major axis of a Hohmann transfer orbit
For a Hohmann transfer, the semi-major axis is the average of the two orbital radii:

\[
a = \frac{R_1 + R_2}{2}
\]

Substitute the numerical values:

\[
a = \frac{21752.6 + 46407.7}{2} = 34080.1\;\text{km}
\]
",The semi-major axis of the transfer orbit is 34080.1 km.,No,
0.455,"A spacecraft is initially in a circular orbit around a planet at an altitude of 5353 km above the surface. It is transferred to another circular orbit at an altitude of 27582 km using a Hohmann cotangential transfer orbit.

The diameter of the planet is 7635 km.

What is the eccentricity of the transfer orbit? Provide your answer as a decimal number without a unit.","### Step 1: Determine the orbital radii
The orbital radius is the sum of the planet's radius and the orbital altitude.

- Planet radius:
  \[
  R_p = \frac{7635}{2} = 3817.6\,\text{km}
  \]

- Initial orbit radius:
  \[
  R_1 = R_p + h_1 = 3817.6 + 5353 = 9170.4\,\text{km}
  \]

- Final orbit radius:
  \[
  R_2 = R_p + h_2 = 3817.6 + 27582 = 31399.6\,\text{km}
  \]

### Step 2: Use the eccentricity formula for a Hohmann transfer
For a Hohmann transfer orbit, the eccentricity is given by:

\[
e = \frac{R_2 - R_1}{R_2 + R_1}
\]

### Step 3: Substitute the numerical values

\[
e = \frac{31399.6 - 9170.4}{31399.6 + 9170.4}
\]

\[
e = 0.5479
\]
",0.5479,No,
0.525,"A spacecraft is initially in a circular orbit around Mars at an altitude of 14430 km above the surface. It is to be transferred to another circular orbit at an altitude of 25902 km using a Hohmann transfer orbit.

The radius of Mars is 3390 km and its gravitational parameter is μ = 4.282e+04 km³/s².

Calculate the transfer time for the Hohmann transfer orbit. Give your answer in hours.","### Step 1: Determine orbital radii
The orbital radius is the sum of the planet's radius and the orbital altitude.

\[
r_1 = R + h_1 = 3390 + 14430 = 17820\,\text{km}
\]

\[
r_2 = R + h_2 = 3390 + 25902 = 29292\,\text{km}
\]

### Step 2: Compute the semi-major axis of the transfer orbit
For a Hohmann transfer orbit, the semi-major axis is the average of the two radii:

\[
a = \frac{r_1 + r_2}2 = \frac{17820 + 29292}2 = 23556\,\text{km}
\]

### Step 3: Compute the transfer time
The transfer time is half the orbital period of the elliptical transfer orbit:

\[
t = \pi \sqrt{\frac{a^3}{\mu}}
\]

Substituting the numerical values:

\[
t = \pi \sqrt{\frac{(23556)^3}{4.282e+04}}
\]

This gives:

\[
t = 5.489e+04\,\text{s}
\]

### Step 4: Convert to hours

\[
t = \frac{5.489e+04}{3600} = 15.25\,\text{hours}
\]
",The Hohmann transfer time is approximately 15.25 hours.,No,
0.595,"A spacecraft is initially in a circular orbit at an altitude of 19845 km above the surface of a planet with radius 4525 km. It is required to transfer the spacecraft to another circular orbit at an altitude of 37689 km using a Hohmann (cotangential) elliptic transfer orbit.

(a) Calculate the two required velocity increments (ΔV₁ and ΔV₂).
(b) Determine the semi-major axis and eccentricity of the transfer orbit.
(c) Compute the transfer time.
(d) Bonus: Explain why placing the spacecraft in a very high circular orbit (e.g., several hundred thousand kilometers above the surface) may not be possible.","### Step 1: Determine orbital radii
The orbital radii are:
r₁ = R + h₁ = 4525 + 19845 = 24370 km
r₂ = R + h₂ = 4525 + 37689 = 42214 km

### Step 2: Circular orbit velocities
The circular velocity is given by:
v = √(μ / r)

v₁ = √(3.15e+04 / 24370) = 1.137 km/s
v₂ = √(3.15e+04 / 42214) = 0.864 km/s

### Step 3: Transfer orbit parameters
The semi-major axis of the Hohmann transfer orbit is:
aₜ = (r₁ + r₂)/2 = 33292 km

The eccentricity is:
e = (r₂ − r₁)/(r₂ + r₁) = 0.2680

### Step 4: Velocities on the transfer orbit
Using the vis-viva equation:
v = √[ μ ( 2/r − 1/a ) ]

Velocity at periapsis (r₁): vₚ = 1.280 km/s
Velocity at apoapsis (r₂): vₐ = 0.739 km/s

### Step 5: Velocity increments
ΔV₁ = vₚ − v₁ = 0.143 km/s
ΔV₂ = v₂ − vₐ = 0.125 km/s

### Step 6: Transfer time
The transfer time is half the period of the elliptical orbit:
t = π √(aₜ³ / μ)

t = 107503 s ≈ 29.86 hours

### Bonus Explanation
At very large orbital altitudes, the circular orbital velocity approaches the escape velocity of the planet. Any additional ΔV required to circularize the orbit may exceed the escape velocity, causing the spacecraft to leave the planet’s gravitational influence rather than remain in a bound orbit.","ΔV₁ = 0.143 km/s, ΔV₂ = 0.125 km/s
Semi-major axis = 33292 km, Eccentricity = 0.2680
Transfer time = 107503 s (29.86 hours)
A very high orbit may be impossible because the required velocity would exceed the planet’s escape velocity.",No,
0.35,"A spacecraft is launched from Earth onto a lowest-energy Hohmann transfer orbit to an outer planet. Assume that both Earth and the target planet move on circular, coplanar heliocentric orbits.

Given the following data:
- Semimajor axis of Earth's orbit: 1.00 AU
- Semimajor axis of the target planet's orbit: 5.02 AU
- Solar gravitational parameter: GM☉ = 1.327e+11 km³/s²

Using the vis-viva equation, determine the spacecraft’s hyperbolic excess velocity v∞ relative to the target planet at encounter. Provide your answer in km/s.","We begin with the vis-viva equation for heliocentric motion:

    v² = GM☉ ( 2/r − 1/a )

For a Hohmann transfer from Earth to the target planet, the perihelion distance is Earth's orbital radius and the aphelion distance is the target planet’s orbital radius. The semimajor axis of the transfer ellipse is therefore:

    a = (r_E + r_P)/2 = (1.00 AU + 5.02 AU)/2
      = 3.011 AU

At the distance of the target planet, r = r_P, the spacecraft’s heliocentric speed is:

    v_sc = [ GM☉ ( 2/r_P − 1/a ) ]^{1/2}

Substituting the given values:

    v_sc = [ 1.327e+11 ( 2/5.02 − 1/3.011 ) ]^0.5
         = 93684.61 km/s

The target planet’s heliocentric orbital speed, assuming a circular orbit, is:

    v_P = ( GM☉ / r_P )^{1/2}

Substituting the numerical value:

    v_P = ( 1.327e+11 / 5.02 )^0.5
        = 162562.67 km/s

Because the planet is moving faster than the spacecraft at encounter, the hyperbolic excess speed is the difference between these velocities:

    v∞ = | v_P − v_sc |

       = | 162562.67 − 93684.61 |
       = 68878.06 km/s",v∞ ≈ 68878.06 km/s,No,
0.525,"A spacecraft arrives at a giant planet on a hyperbolic trajectory. At closest approach (periapsis), it passes very near the cloud tops.

Given the following data:
- Planetary radius: $R = 71,500$ km
- Gravitational parameter: $GM = 1.267e+08$ km$^3$/s$^2$
- Periapsis altitude above the cloud tops: 6,354 km
- Hyperbolic excess speed far from the planet: $v_\infty = 7.57$ km/s

Assuming a two-body interaction and neglecting atmospheric drag, calculate the spacecraft's speed at periapsis. Give your answer in km/s.","### Step-by-step Solution

**1. Determine the distance from the planet's center at periapsis**

The periapsis distance is the sum of the planetary radius and the altitude:

\[
r_p = R + h = 71,500 + 6,354 = 77,854\;\text{km}
\]

**2. Apply the energy equation for a hyperbolic trajectory**

For a spacecraft arriving with hyperbolic excess speed $v_\infty$, the speed at periapsis is given by:

\[
v_p^2 = \frac{2GM}{r_p} + v_\infty^2
\]

**3. Substitute the given values**

\[
v_p^2 = \frac{2(1.267e+08)}{77,854} + (7.57)^2
\]

**4. Compute the periapsis speed**

\[
v_p = \sqrt{3254.46 + 57.36}
= 57.55\;\text{km/s}
\]
",The spacecraft's speed at periapsis is **57.55 km/s**.,No,
0.525,"A spacecraft is orbiting Jupiter-like planet and performs an engine burn at periapsis.

Given:
- Planet radius: 71947 km
- Periapsis altitude: 4478 km
- Initial orbital speed at periapsis: 58.181 km/s
- Speed reduction due to burn: 462 m/s
- Gravitational parameter of Jupiter-like planet: 1.222e+08 km³/s²

Compute the semimajor axis of the new post-burn orbit. Give your answer in both kilometers (km) and astronomical units (AU).","### Step 1: Determine the orbital radius at the burn location
The burn occurs at periapsis, so the orbital radius is:
\[
r = R + h = 71947 + 4478 = 76425\,\text{km}
\]

### Step 2: Compute the new spacecraft speed
The speed is reduced by \(\Delta v\):
\[
v' = 58.181 - 0.462 = 57.718\,\text{km/s}
\]

### Step 3: Apply the vis-viva equation
The vis-viva equation is:
\[
\frac{1}{a} = \frac{2}{r} - \frac{v'^2}{GM}
\]
Substituting the known values:
\[
\frac{1}{a} = \frac{2}{76425} - \frac{(57.718)^2}{1.222e+08}
\]

### Step 4: Solve for the semimajor axis
\[
a = -914,974\,\text{km}
\]

### Step 5: Convert kilometers to astronomical units
\[
a = \frac{-914,974}{1.495978707 \times 10^8} = -0.00612\,\text{AU}
\]","Semimajor axis of the new orbit:
- -914,974 km
- -0.00612 AU",No,
0.525,"The Juno spacecraft has entered orbit around Saturn. The post-insertion orbit is highly elliptical, bringing the spacecraft very close to the planet at periapsis.

You are given the following information:
- Radius of Saturn: $R = 73507.8\ \text{km}$
- Spacecraft periapsis altitude: $h_p = 6380.1\ \text{km}$
- Semi-major axis of the orbit: $a = 486813.5\ \text{km}$

Assuming a Keplerian two-body orbit, calculate the **orbital eccentricity** of the spacecraft’s orbit. Clearly specify the unit of orbital eccentricity.","### Step 1: Identify the relevant formula
For an elliptical orbit, the eccentricity $e$ is related to the periapsis distance $r_p$ and the semi-major axis $a$ by:

\[
e = 1 - \frac{r_p}{a}
\]

### Step 2: Compute the periapsis distance
The periapsis distance is the sum of the planet's radius and the periapsis altitude:

\[
r_p = R + h_p = 73507.8 + 6380.1
= 79887.9\ \text{km}
\]

### Step 3: Substitute values into the eccentricity formula
\[
e = 1 - \frac{79887.9}{486813.5}
\]

### Step 4: Compute the numerical result
\[
e = 0.8359
\]

### Step 5: Units
Orbital eccentricity is a dimensionless quantity and therefore has **no units**.","The orbital eccentricity of the spacecraft is:

\[
e = 0.8359
\]

The eccentricity is dimensionless.",No,
0.525,"A spacecraft has been inserted into a bound orbit around Saturn. The spacecraft’s orbit has a semimajor axis of 208,380 km. The standard gravitational parameter of Saturn is 3.672e+07 km^3/s^2.

Using Kepler’s third law, determine the orbital period of the spacecraft. Show all steps clearly and express your final answer in days.","### Step 1: Write down Kepler’s Third Law
For a spacecraft orbiting a central body, the orbital period $P$ is given by:

$$
P = 2\pi \sqrt{\frac{a^3}{\mu}}
$$

where:
- $a$ is the semimajor axis of the orbit,
- $\mu$ is the standard gravitational parameter of the central body.

### Step 2: Substitute the Given Values
$a = 208,380\ \text{km}$

$\mu = 3.672e+07\ \text{km}^3/\text{s}^2$

Substitute into the equation:

$$
P = 2\pi \sqrt{\frac{(208,380)^3}{3.672e+07}}
$$

### Step 3: Compute the Period in Seconds
Evaluating the expression gives:

$P = 98,636.81\ \text{s}$

### Step 4: Convert Seconds to Days
There are 86,400 seconds in one day, so:

$$
P = \frac{98,636.81}{86,400}
$$

$P = 1.14\ \text{days}$",The orbital period of the spacecraft is 1.14 days.,No,
