Difficulty,Test Ori Question,Test Ori Final Answer
0.525,"A spacecraft is transferring between two circular orbits around a planet using a Hohmann transfer orbit. The gravitational parameter of the planet is μ = 1.927e-05 AU³/year². The radius of the final circular orbit is 23,103 km from the planet’s center.

How is the second velocity increment (ΔV₂) calculated to circularize the orbit at the final radius? Compute ΔV₂ and express your answer in km/s.",ΔV₂ = 1.673 km/s
0.455,"An interplanetary probe is orbiting a planet in a circular orbit and needs to be transferred to a higher circular orbit using a Hohmann transfer.

The diameter of the planet is 9510 km. The initial circular orbit is at an altitude of 16998 km above the surface, and the final circular orbit is at an altitude of 41653 km above the surface.

Assuming a Hohmann transfer orbit, calculate the semi-major axis of the transfer orbit. Give your answer in kilometers.",The semi-major axis of the transfer orbit is 34080.1 km.
0.455,"A spacecraft is initially in a circular orbit around a planet at an altitude of 5353 km above the surface. It is transferred to another circular orbit at an altitude of 27582 km using a Hohmann cotangential transfer orbit.

The diameter of the planet is 7635 km.

What is the eccentricity of the transfer orbit? Provide your answer as a decimal number without a unit.",0.5479
0.525,"A spacecraft is initially in a circular orbit around Mars at an altitude of 14430 km above the surface. It is to be transferred to another circular orbit at an altitude of 25902 km using a Hohmann transfer orbit.

The radius of Mars is 3390 km and its gravitational parameter is μ = 4.282e+04 km³/s².

Calculate the transfer time for the Hohmann transfer orbit. Give your answer in hours.",The Hohmann transfer time is approximately 15.25 hours.
0.595,"A spacecraft is initially in a circular orbit at an altitude of 19845 km above the surface of a planet with radius 4525 km. It is required to transfer the spacecraft to another circular orbit at an altitude of 37689 km using a Hohmann (cotangential) elliptic transfer orbit.

(a) Calculate the two required velocity increments (ΔV₁ and ΔV₂).
(b) Determine the semi-major axis and eccentricity of the transfer orbit.
(c) Compute the transfer time.
(d) Bonus: Explain why placing the spacecraft in a very high circular orbit (e.g., several hundred thousand kilometers above the surface) may not be possible.","ΔV₁ = 0.143 km/s, ΔV₂ = 0.125 km/s
Semi-major axis = 33292 km, Eccentricity = 0.2680
Transfer time = 107503 s (29.86 hours)
A very high orbit may be impossible because the required velocity would exceed the planet’s escape velocity."
0.35,"A spacecraft is launched from Earth onto a lowest-energy Hohmann transfer orbit to an outer planet. Assume that both Earth and the target planet move on circular, coplanar heliocentric orbits.

Given the following data:
- Semimajor axis of Earth's orbit: 1.00 AU
- Semimajor axis of the target planet's orbit: 5.02 AU
- Solar gravitational parameter: GM☉ = 1.327e+11 km³/s²

Using the vis-viva equation, determine the spacecraft’s hyperbolic excess velocity v∞ relative to the target planet at encounter. Provide your answer in km/s.",v∞ ≈ 68878.06 km/s
0.525,"A spacecraft arrives at a giant planet on a hyperbolic trajectory. At closest approach (periapsis), it passes very near the cloud tops.

Given the following data:
- Planetary radius: $R = 71,500$ km
- Gravitational parameter: $GM = 1.267e+08$ km$^3$/s$^2$
- Periapsis altitude above the cloud tops: 6,354 km
- Hyperbolic excess speed far from the planet: $v_\infty = 7.57$ km/s

Assuming a two-body interaction and neglecting atmospheric drag, calculate the spacecraft's speed at periapsis. Give your answer in km/s.",The spacecraft's speed at periapsis is **57.55 km/s**.
0.525,"A spacecraft is orbiting Jupiter-like planet and performs an engine burn at periapsis.

Given:
- Planet radius: 71947 km
- Periapsis altitude: 4478 km
- Initial orbital speed at periapsis: 58.181 km/s
- Speed reduction due to burn: 462 m/s
- Gravitational parameter of Jupiter-like planet: 1.222e+08 km³/s²

Compute the semimajor axis of the new post-burn orbit. Give your answer in both kilometers (km) and astronomical units (AU).","Semimajor axis of the new orbit:
- -914,974 km
- -0.00612 AU"
0.525,"The Juno spacecraft has entered orbit around Saturn. The post-insertion orbit is highly elliptical, bringing the spacecraft very close to the planet at periapsis.

You are given the following information:
- Radius of Saturn: $R = 73507.8\ \text{km}$
- Spacecraft periapsis altitude: $h_p = 6380.1\ \text{km}$
- Semi-major axis of the orbit: $a = 486813.5\ \text{km}$

Assuming a Keplerian two-body orbit, calculate the **orbital eccentricity** of the spacecraft’s orbit. Clearly specify the unit of orbital eccentricity.","The orbital eccentricity of the spacecraft is:

\[
e = 0.8359
\]

The eccentricity is dimensionless."
0.525,"A spacecraft has been inserted into a bound orbit around Saturn. The spacecraft’s orbit has a semimajor axis of 208,380 km. The standard gravitational parameter of Saturn is 3.672e+07 km^3/s^2.

Using Kepler’s third law, determine the orbital period of the spacecraft. Show all steps clearly and express your final answer in days.",The orbital period of the spacecraft is 1.14 days.
0.455,"A spacecraft is placed into a highly elliptical orbit around Jupiter in order to study the planet’s gravity field and interior structure. Assume the following data:

- Jupiter’s equatorial radius: $R_J = 71500\ \mathrm{km}$
- Jupiter’s gravitational parameter: $GM_J = 1.26686e+08\ \mathrm{km^3/s^2}$
- Orbital periapsis distance: $r_p = 80924\ \mathrm{km}$
- Orbital apoapsis distance: $r_a = 3813190\ \mathrm{km}$

a) Calculate the spacecraft’s speed at periapsis.
b) Explain why such a deep periapsis and a large range of orbital distances are scientifically valuable for studying Jupiter.",The spacecraft’s speed at periapsis is approximately 55.37 km/s. A deep periapsis and wide-ranging orbit enhance sensitivity to Jupiter’s higher-order gravity field and interior structure.
0.455,"The Jupiter-like planet orbits the parent star on a nearly circular orbit and is being studied by a spacecraft that requires knowledge of the planet’s gravitational sphere of influence.

You are given the following information:
- Semimajor axis of the planet’s orbit: a = 3.632820 AU
- Gravitational parameter of the planet: GM = 1.895e+05 km³/s²
- Gravitational parameter of the star: GM = 1.355e+11 km³/s²

Assuming the planet’s mass is much smaller than the star’s mass, calculate the radius of the planet’s Hill sphere. Give your answer in Astronomical Units (AU).",0.0282 AU
0.525,"A spacecraft has arrived at Jupiter to study its gravity field and magnetosphere from a close orbit. The orbit is highly elongated and reaches a maximum distance of 0.3065 AU from the planet.

You may assume the following facts:
- Semimajor axis of Jupiter's orbit: a = 8.450985 AU
- Gravitational parameter of Jupiter: GM_p = 1.704e+08 km^3/s^2
- Gravitational parameter of the central star: GM_* = 1.327e+11 km^3/s^2

The heavily perturbed regime is defined as orbits extending beyond half of the Hill sphere radius.

Will the spacecraft’s first orbit around Jupiter enter the heavily perturbed regime? Show all steps clearly.","No, the spacecraft’s orbit does not enter the heavily perturbed regime."
0.525,"From **Basic Constants**:

- Radius of Earth = 6,378.14 km
- Gravitational parameter (GM) of Earth = 3.986005e+14 m³/s²

Given:
- Altitude of the satellite above Earth's surface = 787.3 km

Calculate the velocity of an artificial satellite orbiting the Earth in a **circular orbit** at the given altitude.

Provide your answer in meters per second (m/s) as a standard numeric expression.","7,458 m/s"
0.455,"Given:

\( r = 9,812,281 \, \text{m} \)

Using Equation (4.9):

\[
p^2 = 4 \pi^2 \frac{r^3}{GM}
\]

Calculate the period of revolution for the satellite. Please provide the answer in standard numeric format with the unit in seconds.","9,673 s"
0.35,"Calculate the radius of orbit for a satellite in a geosynchronous orbit around Earth.

The rotational period of Earth is given as 86,285.8 seconds.

Provide the radius of the orbit in meters (m).","42,216,040 m"
0.525,"Calculate the velocity of a satellite at perigee.

Given:
- Earth radius = 6378.14 km
- Perigee altitude = 305.9 km
- Apogee altitude = 538.3 km
- Earth's gravitational parameter, GM = 3.986005e+14 m³/s²

Use the orbital velocity equation:

Vp = sqrt((2 × GM × Ra) / (Rp × (Ra + Rp)))

Provide the velocity at perigee in meters per second (m/s).","Velocity at perigee = 7,788 m/s"
0.525,"Calculate the velocity of a satellite at apogee.

Given:
- Earth's mean radius = 6378.14 km
- Perigee altitude = 297.3 km
- Apogee altitude = 645.5 km
- Earth's gravitational parameter, GM = 3.986005e+14 m³/s²

Use the orbital velocity equation for an elliptical orbit:

$V_a = \sqrt{\left(\frac{2GM R_p}{R_a (R_a + R_p)}\right)}$\n\nWhat is the velocity of the satellite at apogee? Provide your answer in meters per second (m/s).","7,437 m/s"
0.455,"A satellite in Earth orbit passes through its perigee point at an altitude of 315 km above the Earth's surface with a velocity of 7887 m/s.

Calculate the apogee altitude of the satellite. Provide your answer in kilometers.",The apogee altitude of the satellite is approximately 939.3 km.
0.525,"Given the following orbital parameters for a satellite:

Periapsis radius: R_p = 6,775,714 m
Periapsis velocity: V_p = 8,076.8 m/s

The orbital eccentricity is given by Equation (4.20):

e = (R_p · V_p²) / (GM) − 1

where GM = 3.986005e+14 m³/s².

Calculate the eccentricity of the orbit. Please specify the unit of measurement for the answer.","The orbital eccentricity is:

e = 0.108904

Eccentricity is a dimensionless quantity (no units)."
0.455,"A satellite is orbiting the Earth with the following orbital parameters:

- Semi-major axis: 6876.0 km
- Orbital eccentricity: 0.027

Assuming Earth's mean radius is 6378.14 km, calculate the satellite's altitude above Earth's surface at perigee.

Provide your answer in kilometers.",312.08 km
0.455,"A satellite is in an Earth-centered orbit with the following parameters:

- Semi-major axis: 6712.6 km
- Orbital eccentricity: 0.0286

Calculate the satellite's altitude above Earth's surface at apogee. Assume Earth's mean radius is known. Provide your answer in kilometers.",The satellite's altitude at apogee is approximately 526.21 km.
0.595,"A satellite is launched into Earth orbit where its launch vehicle burns out at an altitude of 343.5 km. At burnout, the satellite's velocity is 7737 m/s and the zenith angle is 88.9 degrees.

What is the satellite's altitude at perigee? Provide your answer in kilometers.",Perigee altitude ≈ **-6376.9 km**
0.595,"A satellite is launched into Earth orbit where its launch vehicle burns out at an altitude of 261.7 km above Earth's surface. At burnout, the satellite's velocity is 7944 m/s with a zenith angle of 87.8 degrees.

What is the satellite's altitude at apogee? Provide your answer in kilometers.",Altitude at apogee ≈ **1065.2 km**
0.455,"Given:
\[ r_1 = 7,010,078 \, \text{m} \]
\[ v_1 = 7,716 \, \text{m/s} \]
\[ \gamma_1 = 89.0^\circ \]

Using the orbital eccentricity equation:

\[ e = \sqrt{ \left( \frac{r_1 v_1^2}{GM} - 1 \right)^2 \sin^2 \gamma_1 + \cos^2 \gamma_1 } \]

Calculate the eccentricity of the satellite's orbit. Provide the answer in decimal format without scientific notation.",0.0502689
0.525,"
Given:
\[
r_1 = 6,823,165 \text{ m}
\]
\[
v_1 = 7,609 \text{ m/s}
\]
\[
\gamma_1 = 88.9^\circ
\]

Using the orbital mechanics relation:

\[
\tan V = \frac{(r_1 v_1^2 / GM) \sin \gamma_1 \cos \gamma_1}
{(r_1 v_1^2 / GM) \sin^2 \gamma_1 - 1}
\]

Calculate the angle \( V \) from the perigee point to the satellite position.
Provide your answer in degrees.
",\( V = -64.166^\circ \)
0.35,"Given the following orbital parameters for a satellite:

- Orbital radius: r = 6,784,475 m
- Orbital velocity: v = 8,163 m/s

Using the vis-viva based relation:

a = 1 / \left( \frac{2}{r} - \frac{v^2}{GM} \right)\n\nwhere GM is the standard gravitational parameter of the central body,
calculate the semi-major axis of the satellite's orbit.
Provide your answer in meters.","a = 7,836,705 m"
0.35,"A satellite is launched into orbit, and engine burnout occurs on 2000-01-22 at 10:52 UT.

At the moment of burnout, the satellite has the following geocentric coordinates:
- Latitude: 22.7°
- Azimuth heading: 117.5°

Assuming a spherical Earth and neglecting Earth rotation effects, calculate the inclination of the resulting orbit.

Provide your answer in degrees.",The orbital inclination is **35.049°**.
0.455,"For a satellite in Earth orbit, burnout occurs on 2001-07-15 at 18:30 UT. The geocentric coordinates at burnout are 45.7° N latitude, 162.3° W longitude, and the azimuth heading at burnout is 131.8°.

If the satellite's true anomaly at burnout is ν = 46.992°, calculate the orbit's argument of perigee. Provide the argument of perigee in degrees.",ω = 76.073°
0.455,"For a satellite undergoing powered flight, burnout occurs on 2000-04-07 at 23:30 UT. The geocentric coordinates at burnout are:

- Latitude: 32.9° N
- Longitude: 113.9° E
- Azimuth heading: 60.0°

Using the relation

tan(Δλ₁) = sin(δ) × tan(β),

where δ is the latitude and β is the azimuth heading, determine the value of Δλ₁. Provide your answer in degrees to three decimal places.",43.286°
0.455,"For a satellite burnout scenario, the burnout occurs on 2000-09-16 at 12:23 UT. The geocentric coordinates at burnout are -21.8° N latitude, 131.2° E longitude, and the azimuth heading is 276.8°.

Given that:
- λ₂ = 131.166°
- Δλ₁ = 56.841°

What is the value of λ₁? Please provide the answer in decimal degrees.",74.325°
0.525,"For a satellite mission, burnout occurs on 2023-07-06 at 13:30 UT. The reference longitude is 8.892°.

What is the local sidereal time at this longitude on the given date and time? Provide the answer in decimal degrees.",135.668°
0.455,"A satellite is in an orbit with a semi-major axis of 8305 km and an eccentricity of 0.03.

What are the initial and final true anomalies in radians for positions 45.0 degrees and 150.0 degrees past perigee? Provide your answers in radians.","Initial true anomaly: 0.78540 radians
Final true anomaly: 2.61799 radians"
0.455,"A satellite is in an elliptical orbit with a semi-major axis of 16770.8 km and an eccentricity of 0.191.

If the satellite's initial true anomaly is \(\nu_0 = 0.20641\) radians, calculate the corresponding eccentric anomaly \(E_0\).

Provide your answer in radians.",E₀ = 0.17030 radians
0.525,"A satellite moves in an elliptical orbit with a semi-major axis of 9806.5 km and an eccentricity of 0.379.

If the satellite's true anomaly is ν = 0.74426 radians, calculate the corresponding eccentric anomaly E.

Provide your answer in radians.",E = 0.51252 radians
0.525,"A satellite is in an elliptical orbit with a semi-major axis of 14578.0 km and an eccentricity of 0.099.

If the satellite has an initial eccentric anomaly of E₀ = 0.87995 radians, calculate the corresponding mean anomaly M.
Provide your answer in radians.",M ≈ 0.80383 radians
0.525,"A satellite is moving in an elliptical orbit with the following parameters:

- Semi-major axis: 7049.6 km
- Eccentricity: 0.142
- Final eccentric anomaly: E = 1.59640 radians

Using Kepler’s equation, calculate the mean anomaly M. Provide your answer in radians rounded to five decimal places.",M = 1.45459 radians
0.525,"A satellite is orbiting Earth with a semi-major axis of 10,303 km.

How do you calculate the mean motion $n$ of the satellite?
Provide the answer as a numeric expression with units of radians per second (rad/s).",0.000603724 rad/s
0.525,"A satellite is in an elliptical orbit with a semi-major axis of 10292 km and an eccentricity of 0.12.

Calculate the time taken for the satellite to move from 29° to 76° past perigee. Provide your answer in seconds.",The time taken is approximately 1154.6 seconds.
0.455,"An Earth-orbiting satellite has the following orbital parameters:

- Initial time, t₀ = 0 s
- Initial mean anomaly, M₀ = 0.52179 rad
- Mean motion, n = 0.000161284 rad/s

What is the mean anomaly of the satellite after 1200 seconds have elapsed from the initial time? Provide your answer in radians.",0.71533 radians
0.455,"A satellite is in an elliptical orbit with known orbital parameters.

Given:
- Initial time, t₀ = 0 s
- Initial mean anomaly, M₀ = 1.95592 rad
- Mean motion, n = 0.00011370 rad/s
- Orbital eccentricity, e = 0.18

Using the mean anomaly relation:
M = M₀ + n(t − t₀)

Determine the true anomaly of the satellite 900 seconds after the initial time using the low-accuracy approximation.",The true anomaly using the low-accuracy method is approximately 134.24 degrees.
0.455,"
A satellite is in an elliptical orbit with the following parameters:

- Initial mean anomaly: \( M_0 = 1.81563 \) rad  
- Mean motion: \( n = 0.00010720 \) rad/s  
- Orbital eccentricity: \( e = 0.110 \)  

Determine the **eccentric anomaly** \( E \) of the satellite after
\( t = 2305.1 \) seconds from the initial time using a
**high-accuracy numerical method**.

Provide your answer in **radians**.
",E = 2.15462 radians
0.455,"A satellite is moving in an elliptical orbit.

Given:
Initial mean anomaly, M₀ = 1.12234 rad
Mean motion, n = 0.00008408 rad/s
Eccentricity, e = 0.191
Time elapsed, t = 900 s

Using a high-accuracy method, determine the true anomaly of the satellite after the given time. Provide your answer in degrees.",The true anomaly of the satellite is approximately 90.45 degrees.
0.525,"For a satellite in an elliptical orbit, the following parameters are given:

- Semi-major axis, a = 11,964,168 m
- Eccentricity, e = 0.082
- True anomaly, v = 90.6 degrees

Calculate the length of the satellite's position vector when the true anomaly is at the given value. Provide the answer in meters (m).","11,895,297.26 m"
0.525,"An Earth-orbiting satellite has the following orbital parameters:

- Semi-major axis, a = 7,987,306 m
- Eccentricity, e = 0.108
- True anomaly, v = 272.6 degrees

Calculate the flight path angle of the satellite at the given true anomaly. Provide your answer in degrees.",The flight path angle is -6.136 degrees.
0.525,"An Earth-orbiting satellite has the following orbital parameters:

- Semi-major axis, a = 11,671,695 m
- Eccentricity, e = 0.288
- True anomaly, ν = 80.7 degrees

Using the standard gravitational parameter of Earth, calculate the magnitude of the satellite's orbital velocity when the true anomaly is at the given value. Express your answer in meters per second (m/s).","6,616 m/s"
0.525,"An Earth-orbiting space station is flying at an altitude of 389 km above Earth's surface with an orbital period of 91.0 minutes. The orbit is influenced by third-body perturbations from the Moon and the Sun.

Calculate the perturbations in the longitude of the ascending node and the argument of perigee caused by these effects.

What is the inclination of the space station's orbit? Provide your answer in degrees.",97.4 degrees
0.525,"An Earth-orbiting spacecraft is operating at an altitude of 433 km with an orbital inclination of 32.2 degrees. The spacecraft experiences orbital perturbations due to the gravitational influence of the Moon and the Sun.

The orbital period of the spacecraft is 97.0 minutes.

What is the orbital period of the spacecraft expressed in revolutions per day? Please provide the answer in the format of revolutions per day.",14.84 revolutions per day
0.525,"An artificial satellite is orbiting the Earth with the following parameters:

- Orbital altitude: 352.3 km
- Orbital inclination: 31.76 degrees
- Mean motion: 16.34 revolutions per day

Using a simplified analytical model for third-body perturbations, the lunar contribution to the rate of change of the longitude of the ascending node is given by:

$\displaystyle \dot{\Omega}_{Moon} = -C \frac{\cos(i)}{n}$

where:
- $C$ is a lunar perturbation coefficient,
- $i$ is the orbital inclination,
- $n$ is the mean motion.

Calculate the perturbation in the longitude of the ascending node due to the Moon.

Provide your answer in **degrees per day**.",-1.513629e-04 degrees per day
0.525,"Calculate the perturbation in the longitude of the ascending node of a satellite due to the Sun. The satellite orbits at an altitude of 547 km, has an inclination of 46.0 degrees, and an orbital period of 90.9 minutes.

Provide the perturbation in the longitude of the ascending node in degrees per day.",-0.0000757 deg/day
0.525,"Calculate the long-term perturbations in the longitude of the ascending node and the argument of perigee caused by the gravitational influence of the Moon and the Sun for the Research Spacecraft orbiting Earth at an altitude of 352.6 km, with an orbital inclination of 97.13 degrees, and an orbital period of 90.7 minutes.

What is the inclination of the Research Spacecraft's orbit? Please provide the inclination in degrees.",The inclination of the Research Spacecraft's orbit is 97.13 degrees.
0.525,"Calculate the perturbative context due to the Moon and Sun for a spacecraft orbiting Earth at an altitude of 390 km with an inclination of 40.2 degrees and an orbital period of 89.8 minutes.

As part of this analysis, determine the orbital period of the spacecraft expressed in revolutions per day. Provide your answer in the format of revolutions per day.",16.03 revolutions per day
0.455,"Calculate the perturbation in the argument of perigee caused by the Moon for a spacecraft orbiting the Earth at an altitude of 579 km, with an orbital inclination of 52.9 degrees and an orbital period of 85.9 minutes.

What is the perturbation in the argument of perigee due to the Moon? Provide your answer in degrees per day.",0.000085 degrees per day
0.525,"Calculate the perturbations in the longitude of the ascending node and the argument of perigee caused by the Moon and the Sun for the International Space Station, which is orbiting Earth at an altitude of 376.6 km with an orbital period of 97.0 minutes.

What is the inclination of the International Space Station's orbit? Please provide the inclination in degrees.",42.4 degrees
0.525,"An Earth-orbiting space station is in a circular orbit at an altitude of 350 km with an orbital inclination of 43.1 degrees. The station experiences gravitational perturbations due to the Moon and the Sun.

As part of the orbital analysis, determine the orbital period of the space station in revolutions per day, given that its orbital period is 88.6 minutes.

Provide the answer in the format of revolutions per day.",16.25 revolutions per day
0.35,"An Earth-orbiting spacecraft is in a near-circular low Earth orbit.

- Orbital altitude: 499 km
- Inclination: 85.86 degrees
- Orbital period: 98.8 minutes

Using a simplified analytical model, the perturbation in the argument of perigee due to the Sun is given by:

$\dot{\omega}_{Sun} = 0.00077 \times \frac{(4 - 5 \sin^2 i)}{n}$\n\nwhere:
- $i$ is the orbital inclination (degrees)
- $n$ is the mean motion in revolutions per day

Calculate the perturbation in the argument of perigee due to the Sun. Express your answer in degrees per day.",-0.000051 degrees per day
0.35,"A satellite is in an Earth orbit with the following parameters:

- Semi-major axis: 7894 km
- Inclination: 19.7 degrees
- Eccentricity: 0.11

Calculate the perturbation in the longitude of the ascending node due to the Earth's J₂ effect. Express your answer in degrees per day.",-4.557 deg/day
0.35,"A satellite is in an Earth orbit with the following parameters:

- Semi-major axis: 8377.4 km
- Inclination: 2.46 degrees
- Eccentricity: 0.084

Calculate the perturbation in the argument of perigee due to the Earth's J₂ oblateness effect. Express your answer in degrees per day.",7.764 deg/day
0.525,"A satellite is in a circular orbit around the Earth at an altitude of 531 km above the Earth's surface. Assume the Earth has a mean radius of 6378.14 km and a standard gravitational parameter of 3.986005e+14 m³/s².

What is the velocity of the satellite in its circular orbit? Provide your answer in meters per second (m/s).","7,595 m/s"
0.595,"A satellite is in a circular Earth orbit at an altitude of 362 km. The satellite has a cylindrical shape 2.1 m in diameter and 5.4 m long, with a total mass of 1439 kg. The satellite’s long axis is perpendicular to the velocity vector, and the drag coefficient is 2.69.

Assuming an atmospheric density of 1.74e-12 kg/m³ at this altitude, what is the change in the semi-major axis per revolution due to atmospheric drag? Provide the answer in meters (m).",-10.37 m per revolution
0.525,"A satellite is in a circular Earth orbit at an altitude of 404 km. The satellite has a cylindrical shape 2.0 m in diameter and 5.4 m long, with a total mass of 1445 kg. The satellite is oriented with its long axis perpendicular to the velocity vector, and the drag coefficient is 2.41.

Assuming an atmospheric density of 1.89e-12 kg/m³ at this altitude, determine the change in the orbital period per revolution due to atmospheric drag. Provide your answer in seconds.",-0.0120 s
0.525,"A satellite is in a circular Earth orbit at an altitude of 390 km. The satellite has a cylindrical shape 3.0 m in diameter and 5.3 m long, with a mass of 1411 kg. The satellite travels with its long axis perpendicular to the velocity vector, and its drag coefficient is 2.34. The atmospheric density at this altitude is 1.86e-12 kg/m³.

What is the change in velocity per revolution due to atmospheric drag? Provide the answer in meters per second (m/s).",0.007945 m/s
0.525,"A satellite is in a circular Earth orbit at an altitude of 434 km. The satellite has a cylindrical shape 1.6 m in diameter and 5.8 m long, with a mass of 1253 kg. It travels with its long axis perpendicular to the velocity vector. The drag coefficient is 2.60. Assume an atmospheric density of 4.96e-11 kg/m³ and a scale height of 63.4 km.

Estimate the satellite's lifetime in terms of the number of orbital revolutions.",2.40e+04 revolutions
0.455,"A spacecraft is initially in a circular parking orbit around Earth.

- Earth mean radius: 6,371,000 m
- Parking orbit altitude above Earth's surface: 491,294 m
- Radius of the target circular orbit: 31,780,168 m

Assuming a Hohmann transfer between the two circular orbits, determine the semi-major axis of the transfer orbit.

Provide your answer in meters.","The semi-major axis of the transfer orbit is 19,321,231 m."
0.525,"A spacecraft is in a circular parking orbit around a planet.

- Planet radius: 6,378,140 m
- Parking orbit altitude: 265,798 m

Assuming a Hohmann transfer is to be initiated from this orbit, what is the initial orbital velocity of the spacecraft in the parking orbit? Provide your answer in meters per second (m/s).","7,746 m/s"
0.525,"A spacecraft is initially placed in a circular parking orbit around Earth.

- Parking orbit altitude: 333,784 km
- Target circular orbit altitude: 40,102,869 km

Assuming a Hohmann transfer between the two circular orbits, what is the final orbital velocity of the spacecraft once it reaches the target orbit?

Provide your answer in meters per second (m/s).","2,929 m/s"
0.525,"A spacecraft is initially in a circular parking orbit around Earth with an altitude of 383,760 m above the surface. It is to be transferred to a higher circular orbit with an altitude of 22,353,568 m using a Hohmann transfer.

What is the velocity at the perigee of the transfer orbit? Provide your answer in meters per second (m/s).","9,769.11 m/s"
